horas_estudo,frequencia,atividades_entregues,nota_anterior,nota_final
9.1,100.0,84.3,7.2,7.09
4.4,63.6,64.6,6.68,5.57
10.6,92.4,97.9,6.23,7.96
11.3,78.1,63.7,9.36,7.68
1.2,81.3,63.5,5.38,5.29
3.4,69.4,84.7,10.0,7.13
8.4,78.0,88.7,6.09,6.45
6.9,97.6,83.1,4.2,6.05
7.9,89.0,44.7,6.63,7.85
5.0,100.0,84.7,4.56,6.85
11.1,96.1,56.4,5.15,7.18
10.7,87.3,79.2,7.21,7.24
8.2,100.0,49.4,7.5,7.12
11.9,87.3,83.0,5.38,6.63
9.6,91.9,60.5,8.28,6.0
5.0,78.4,51.9,8.58,5.94
9.3,82.8,87.8,9.09,7.03
4.6,73.6,79.3,7.45,5.4
11.1,93.9,63.9,8.95,7.34
7.8,67.9,100.0,3.11,6.51
7.4,91.4,67.1,5.93,6.68
5.6,79.7,75.6,4.94,6.83
12.3,96.1,79.8,6.71,8.0
7.5,91.0,63.8,5.47,6.95
6.5,100.0,83.5,6.2,6.79
6.8,90.8,65.4,9.89,8.31
9.9,63.1,67.6,6.19,6.59
9.3,81.2,99.5,7.24,7.31
9.4,67.9,56.3,6.08,6.34
9.5,75.8,31.6,6.64,6.28
15.5,100.0,100.0,6.51,8.11
6.6,89.7,100.0,7.31,7.07
6.2,73.6,67.7,8.6,6.33
5.2,69.8,40.1,9.47,6.65
10.2,82.4,69.4,7.06,7.29
12.0,67.4,69.8,7.56,6.49
7.6,73.9,71.6,4.43,5.79
5.1,85.7,55.0,6.34,6.61
5.1,95.9,85.4,8.19,8.21
10.3,89.3,84.4,8.06,8.89
10.6,54.5,48.1,6.88,6.57
9.9,85.7,87.6,8.1,7.3
5.7,82.9,100.0,7.38,8.51
8.8,87.0,78.1,8.66,7.54
8.4,100.0,68.9,7.02,8.09
8.8,57.2,72.4,5.86,5.92
11.1,74.9,86.1,7.1,7.04
8.8,89.1,43.8,1.22,3.55
10.4,63.0,78.0,7.19,6.64
8.2,99.7,68.0,0.0,4.03
9.0,86.4,100.0,3.4,7.04
10.2,92.2,71.9,7.31,8.44
2.9,75.1,100.0,7.36,6.57
6.9,91.8,55.1,4.41,6.1
6.4,94.8,85.6,5.22,6.42
5.8,84.8,80.7,8.97,7.35
7.0,84.8,59.4,5.63,6.69
13.2,85.2,78.2,10.0,8.59
5.0,71.6,96.8,6.5,7.78
11.4,80.2,69.2,7.23,6.89
2.1,80.2,44.5,9.41,7.35
6.8,86.6,74.7,6.74,7.02
8.6,94.0,58.8,4.7,6.76
10.1,69.3,68.8,6.3,6.15
10.5,80.5,73.5,6.44,6.9
10.8,99.8,44.3,4.04,6.03
6.8,73.1,45.9,6.04,5.23
6.4,72.1,83.7,5.16,6.52
11.0,84.4,65.6,8.16,7.92
7.3,92.1,28.8,6.56,6.54
3.5,82.1,89.1,5.99,7.53
4.0,97.9,79.9,6.31,7.92
4.8,92.3,62.2,6.9,6.56
9.7,92.1,51.3,7.61,7.41
8.5,88.6,90.0,4.7,6.37
10.4,100.0,81.3,4.63,7.04
6.5,79.5,100.0,8.49,7.49
8.6,58.0,82.6,5.76,7.02
10.2,100.0,82.0,3.95,7.0
6.9,76.5,72.0,7.3,6.68
